Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
LinkedIn url text accepts the value without the string'www.linkedin.com',EL-65,10087,Bug,To Do,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,08/Sep/21 5:40 AM,08/Sep/21 5:56 AM,09/Sep/21 4:51 AM,,,0,"LinkedIn url LinkedIn url text accepts the value without the string'[http://www.linkedin.com|http://www.linkedin.com] '

Steps to reproduce

# Go to the Website
# Log in to the web page
# go to edit profile
# enter linkedIn url

Expected results

As a user i should when I enter LinkedIn url without  the string'[http://www.linkedin.com|http://www.linkedin.com]  ' it should display a message ‘provide valid linkedin url’

Actual results 

linkedin url accepts the text  without  the string'[http://www.linkedin.com|http://www.linkedin.com]  and does not show any alert message.

!image-20210908-054650.png|width=774,height=119!

!image-20210908-054733.png|width=1234,height=214!",,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,,EL-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 5:47 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210908-054650.png;https://corporate7.atlassian.net/secure/attachment/10006/image-20210908-054650.png,08/Sep/21 5:47 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210908-054733.png;https://corporate7.atlassian.net/secure/attachment/10007/image-20210908-054733.png,,,,,,{},,,,,,,0|i0005r:c6,,EL Sprint 1,,,,,,,,To Do
Verify LinkedIn URL should have end character string as'www.linkedIn.com',EL-64,10086,Test,Blocks,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,08/Sep/21 5:37 AM,08/Sep/21 5:50 AM,08/Sep/21 5:37 AM,,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-30,EL-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005h:,,EL Sprint 1,,,,,,,,In Progress
File Attached should not be more than 20 mb,EL-63,10085,Bug,To Do,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,08/Sep/21 5:13 AM,08/Sep/21 5:27 AM,08/Sep/21 5:26 AM,,,0,"File attached size more tha 20 mb

Steps to reproduce

1.Go to the Application

2. Go to the Compose message

3.Give input values to ‘sent to’ , ‘Subject’ , ‘file attached’

Expected Results

As a user when I attach a file size more than 20 mb , I should be able to get alert message ‘Please attach a file of Size less than or of 20mb’

Actual Results

File attached accepts file size of more than 20 mb and does not show alert message.

!image-20210908-052200.png|width=832,height=810!",,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,EL-33,,EL-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 5:22 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210908-052200.png;https://corporate7.atlassian.net/secure/attachment/10005/image-20210908-052200.png,,,,,,,{},,,,,,,0|i0005r:b5v,,EL Sprint 1,,,,,,,,To Do
Verify that 'file attachment' browse file and accepts file size more than 20mb,EL-62,10084,Test,Blocks,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,08/Sep/21 5:08 AM,08/Sep/21 5:25 AM,08/Sep/21 5:08 AM,,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-45,EL-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:9t,,EL Sprint 1,,,,,,,,In Progress
Verify that user is able to open the message and message is displayed in correct manner,EL-61,10083,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 6:08 AM,08/Sep/21 4:55 AM,08/Sep/21 5:03 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b5r,,EL Sprint 1,,,,,,,,Done
Verify that user is able to Forward received message in INBOX,EL-60,10082,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 6:05 AM,08/Sep/21 4:55 AM,07/Sep/21 6:39 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b4i,,EL Sprint 1,,,,,,,,Done
Verify that user is able to reply received message in INBOX,EL-59,10081,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 6:04 AM,08/Sep/21 4:56 AM,07/Sep/21 6:39 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b5i,,EL Sprint 1,,,,,,,,Done
Verify that user should receive the message in INBOX,EL-58,10080,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:43 AM,08/Sep/21 4:56 AM,07/Sep/21 6:39 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b5,,EL Sprint 1,,,,,,,,Done
Verify onclicking 'Delete' icon confirmation message is displayed and deletes the selected message,EL-57,10079,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:38 AM,08/Sep/21 4:55 AM,07/Sep/21 6:40 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b6,,EL Sprint 1,,,,,,,,Done
Verify onclicking 'Details' button deletes the message when no message is selected,EL-56,10078,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:35 AM,08/Sep/21 4:56 AM,07/Sep/21 6:40 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b2,,EL Sprint 1,,,,,,,,Done
Verify 'Details' button deletes the selected message,EL-55,10077,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:33 AM,08/Sep/21 4:56 AM,07/Sep/21 6:40 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b4,,EL Sprint 1,,,,,,,,Done
Verify 'Unselect all' button selects all the messages in outbox,EL-54,10076,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:29 AM,08/Sep/21 4:55 AM,07/Sep/21 6:39 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:b9,,EL Sprint 1,,,,,,,,Done
Verify 'Select all' button selects all the messages in outbox,EL-53,10075,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 5:06 AM,08/Sep/21 4:55 AM,07/Sep/21 6:39 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:c2,,EL Sprint 1,,,,,,,,Done
Time in the outbox is not shown correctly,EL-52,10074,Bug,To Do,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:40 AM,08/Sep/21 11:47 AM,08/Sep/21 4:29 AM,,,0,"Visibility of incorrect time in outbox

Steps to reproduce

1.Go to the application

2.Go to the message box

3.Go to the outbox

Expected Result

User should be able to see correct Date ,time on which the message is send

Actual Result

User is shown in correct time at which the message is send

!image-20210907-045501.png|width=890,height=109!

!image-20210907-045422.png|width=1026,height=698!",,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,EL-33,,EL-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 4:55 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210907-045422.png;https://corporate7.atlassian.net/secure/attachment/10004/image-20210907-045422.png,07/Sep/21 4:55 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210907-045501.png;https://corporate7.atlassian.net/secure/attachment/10003/image-20210907-045501.png,,,,,,{},,,,,,,0|i0005r:am,,EL Sprint 1,,,,,,,,To Do
"Verify that ""outbox"" allows user correct date and time the message is send",EL-51,10073,Test,Blocks,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:39 AM,08/Sep/21 11:47 AM,08/Sep/21 4:29 AM,,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-50,EL-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:ar,,EL Sprint 1,,,,,,,,In Progress
"Verify that ""outbox"" allows user is to see pervious sent messages",EL-50,10072,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:37 AM,08/Sep/21 4:56 AM,07/Sep/21 4:37 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:ad,,EL Sprint 1,,,,,,,,Done
Verify that on clicking'Send Message'button message should be send,EL-49,10071,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:33 AM,08/Sep/21 4:56 AM,07/Sep/21 4:33 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:a9,,EL Sprint 1,,,,,,,,Done
Verify that 'file attachment' is added with or without 'Description'text box,EL-48,10070,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:30 AM,08/Sep/21 4:56 AM,07/Sep/21 4:31 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:9v,,EL Sprint 1,,,,,,,,Done
Verify that 'Sent to ' accepts 3 character to search the name of the person,EL-47,10069,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:25 AM,08/Sep/21 4:56 AM,07/Sep/21 4:26 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:ai,,EL Sprint 1,,,,,,,,Done
Verify that 'Sent to ' accepts multiple users to send message,EL-46,10068,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 4:19 AM,08/Sep/21 4:57 AM,07/Sep/21 4:20 AM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:9d,,EL Sprint 1,,,,,,,,Done
Verify that 'file attachment' browse file and accepts less than or equal to 20mb size,EL-45,10067,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 3:40 AM,08/Sep/21 5:08 AM,08/Sep/21 5:07 AM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:99,,EL Sprint 1,,,,,,,,Done
Increment in calculation of no. of words,EL-44,10066,Bug,To Do,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 3:29 AM,07/Sep/21 8:24 AM,08/Sep/21 4:31 AM,,,0,"Visiblity of number of words in ‘words’ parameter

Steps to reproduce:

# Go to the application
# go to the message box
# open the 'write message'
# write a message in box provided 

Expected Results

User should be able to see the correct number of words types in message box 

Actual Results

Words displayed in the box and words counted through 'words' parameter is not similar

!image-20210907-033905.png|width=757,height=483!",,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,EL-33,,EL-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 3:39 AM;ug:0dc78bbc-dbed-48b2-a852-b84165ab40e5;image-20210907-033905.png;https://corporate7.atlassian.net/secure/attachment/10002/image-20210907-033905.png,,,,,,,{},,,,,,,0|i0005r:br,,EL Sprint 1,,,,,,,,To Do
Verify that 'Words' parameter counts the no of words in the message box,EL-43,10065,Test,Blocks,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,07/Sep/21 3:24 AM,08/Sep/21 4:31 AM,08/Sep/21 4:31 AM,,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-42,EL-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:9r,,EL Sprint 1,,,,,,,,In Progress
Verify that 'Message' accepts 500 characters and tools are applied,EL-42,10064,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 12:09 PM,08/Sep/21 4:56 AM,09/Sep/21 4:36 AM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:9i,,EL Sprint 1,,,,,,,,Done
Verify that 'Subject' is a mandatory field,EL-41,10063,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 12:05 PM,08/Sep/21 4:56 AM,06/Sep/21 12:06 PM,08/Sep/21 4:56 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:a,,EL Sprint 1,,,,,,,,Done
Verify that 'Subject' accepts 255 and less characters,EL-40,10062,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 12:00 PM,08/Sep/21 4:57 AM,06/Sep/21 12:11 PM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:8x,,EL Sprint 1,,,,,,,,Done
" Verify that 'Sent to ' accepts ,search, and verify the person if not found in data base",EL-39,10061,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 11:49 AM,08/Sep/21 4:57 AM,07/Sep/21 4:18 AM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:8t,,EL Sprint 1,,,,,,,,Done
"Verify that 'Sent to ' accepts ,search, and verify the person if found in data base",EL-38,10060,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 11:46 AM,08/Sep/21 4:57 AM,06/Sep/21 11:46 AM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:8v,,EL Sprint 1,,,,,,,,Done
Verify that 'search ' button searches required field,EL-37,10059,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 11:40 AM,08/Sep/21 4:57 AM,06/Sep/21 11:40 AM,08/Sep/21 4:57 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:8r,,EL Sprint 1,,,,,,,,Done
Verify that <- arrow (next)and compose message buttons are working or not,EL-36,10058,Test,Done,EL,E-learning,software,Tanuja Patil,612efa4e63f7bb00697f6cf5,,Medium,Done,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,Tanuja Patil,612efa4e63f7bb00697f6cf5,06/Sep/21 11:32 AM,08/Sep/21 5:07 AM,08/Sep/21 5:06 AM,08/Sep/21 4:55 AM,,0,,,Tanuja Patil,612efa4e63f7bb00697f6cf5,,,,,,,,,,EL-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0005r:8i,,EL Sprint 1,,,,,,,,Done
